# Tutorial map
# A neutral community-workshop programme designed for learning the app. The
# map has the scale and branching of a working programme model while retaining
# a clear thread from resources to longer-term learning. It exercises filters,
# search, panning, simulation, Atlas feedback loops, calculation rules,
# evidence metadata, formulas, bounds and hidden constants. Its worked
# formula cases contrast proportional links with rate conversion, capacity,
# shares, balances, threshold conditions, joint requirements and delay().
#
# Every calculated box rests exactly at its stated baseline. Evidence statuses
# are examples of documentation practice, not claims about a real programme.
#
# THE MAP IS DELIBERATELY IMPERFECT IN THREE PLACES so that Review has something
# real to find. None of them breaks the maths — every box still rests at its
# baseline and the spreadsheet still loads without findings. They are questions
# about provenance, which is what an assurance pass is for:
#   1. Participant satisfaction -> Community confidence is the strongest link
#      into the box that closes the map's feedback loop and carries no recorded
#      evidence at all.
#   2. Shared invitation message -> Partner referrals was fitted to data in 2020
#      and has not been looked at since.
#   3. Partner referrals -> First-time attendees is the highest strength on the
#      map outside the capacity gate and rests on a single workshop estimate.

# SECTION: streams
id,label,short,color
planning,Planning,PLAN,#60a5fa
partnerships,Partnerships,PART,#f472b6
delivery,Delivery,DELIV,#34d399
community,Community,COMM,#fbbf24
learning,Learning and evidence,LEARN,#a78bfa

# SECTION: stages
id,label
inputs,Inputs
design,Design
preparedness,Preparedness
coordination,Coordination
engagement,Reach and engagement
participation,Participation
experience,Delivery experience
outcomes,Outcomes
follow_up,Follow-up
learning_cycle,Learning and adaptation

# SECTION: categories
id,label,color,text_color,class
resource,Resource,#d4a373,#1c1917,primary
capability,Capability,#7dd3fc,#082f49,primary
activity,Activity,#5eead4,#042f2e,primary
outcome,Outcome,#86efac,#052e16,primary
learning,Learning point,#c4b5fd,#1e1b4b,secondary
access,Access consideration,#fca5a5,#450a0a,secondary

# SECTION: defaults
key,value
elasticity_enables,0.3
elasticity_increases,0.25
elasticity_decreases,-0.25

# SECTION: params
id,value,description
people_reached_per_hour,5,People reached by one hour of outreach
registration_rate,0.4,Share of reached people who register at baseline
seats_per_workshop,20,Usable places in each workshop
attendance_rate,0.75,Share of registered places that are attended
confidence_feedback_strength,0.2,Strength of the delayed confidence feedback
confidence_reference,70,Community confidence value that gives neutral feedback

# SECTION: nodes
id,label,description,stream,stage,category,baseline,unit,controllable,direction,slider_max,combine,formula,min,max,formula_evidence_status,formula_evidence_rationale,formula_evidence_source,formula_evidence_last_reviewed
volunteer_hours,Volunteer time,Volunteer preparation time available each month.,planning,inputs,resource,100,hours/month,true,,2.5,,,,,unspecified,,,
materials_budget,Materials budget,Monthly budget for tools and consumable materials.,planning,inputs,resource,2000,GBP/month,true,,2.5,,,,,unspecified,,,
facilitator_slots,Facilitator capacity,Workshop sessions facilitators can cover each month.,delivery,inputs,resource,10,sessions/month,true,,2.5,,,,,unspecified,,,
venue_slots,Venue availability,Workshop sessions with an accessible room available.,delivery,inputs,resource|access,8,sessions/month,true,,2.5,,,,,unspecified,,,
outreach_effort,Outreach effort,Time spent inviting residents and partner groups.,community,inputs,resource,80,hours/month,true,,2.5,,,,,unspecified,,,
access_barriers,Access barriers,Combined pressure from timing travel language and cost barriers.,community,inputs,resource|access,100,index,true,lower_better,2,,,,,unspecified,,,
walk_in_interest,Walk-in interest,Residents who may arrive without registering in advance.,community,inputs,resource,16,people/month,true,,3,,,,,unspecified,,,
completion_share,Completion share,Share of attendees who complete the programme activity.,delivery,inputs,capability|learning,0.75,share,true,higher_better,1.34,,,0,1,unspecified,,,
follow_up_readiness,Follow-up readiness,Share of completed participants ready for a follow-up activity.,delivery,inputs,capability|learning,0.9,share,true,higher_better,1.12,,,0,1,unspecified,,,
workshop_readiness,Workshop readiness,How prepared the team and materials are for delivery.,planning,preparedness,capability,100,index,,higher_better,,multiplicative,,30,140,unspecified,,,
volunteer_coordination,Volunteer coordination,How clearly volunteer roles and rotas are coordinated.,planning,design,activity|capability,100,index,,higher_better,,multiplicative,,,,supported,Coordination checklist used in monthly planning,Programme operations review,2026-09-01
delivery_plan,Delivery plan,How clearly the programme turns readiness into an agreed sequence of sessions.,planning,coordination,activity|capability,84,index,,higher_better,,multiplicative,,0,100,supported,Delivery plan is reviewed before each monthly cycle,Programme operations review,2026-09-01
facilitator_confidence,Facilitator confidence,How confident facilitators feel about running an inclusive session.,planning,experience,capability|learning,75,index,,higher_better,,additive,,0,100,hypothesis,Confidence is expected to respond to preparation and experience,Facilitator reflection workshop,2026-09-01
delivery_consistency,Delivery consistency,How reliably sessions follow the agreed programme standard.,planning,outcomes,outcome,80,index,,higher_better,,multiplicative,,0,100,supported,Monthly quality checks use the same delivery standard,Programme quality review,2026-09-01
improvement_backlog,Improvement backlog,Improvements the programme has agreed to and has not made yet. It grows when demand goes unmet and shrinks as adaptations land.,planning,learning_cycle,learning,24,actions waiting,,lower_better,,additive,,0,,supported,Actions are counted from the monthly learning log,Programme learning log,2026-09-01
partner_time,Partner time,Time partner organisations can contribute each month.,partnerships,inputs,resource,60,hours/month,true,,2.5,,,,,unspecified,,,
referral_capacity,Referral capacity,People partner organisations can actively refer each month.,partnerships,inputs,resource,120,people/month,true,,2.5,,,,,unspecified,,,
partner_readiness,Partner readiness,How ready partners are to explain and support the programme.,partnerships,preparedness,capability,80,index,,higher_better,,multiplicative,,0,100,supported,Readiness checklist agreed with delivery partners,Partner network review,2026-09-01
shared_message,Shared invitation message,How consistently partners describe who the programme is for.,partnerships,design,activity|capability,85,index,,higher_better,,multiplicative,,0,100,supported,Shared copy is reviewed at partner meetings,Partner communications review,2026-09-01
partner_briefing,Partner briefing,How consistently referring partners understand the timetable welcome and eligibility.,partnerships,coordination,activity|capability,82,index,,higher_better,,multiplicative,,0,100,supported,Briefing checklist is used before each referral cycle,Partner network review,2026-09-01
partner_referrals,Partner referrals,Residents referred by trusted organisations each month.,partnerships,participation,activity,72,people/month,,higher_better,,multiplicative,,0,,calibrated,Referral level fitted to the tutorial observation set,Tutorial observations C,2026-09-01
referral_welcome,Referral welcome,How well referred residents are supported into their first session.,partnerships,experience,access|capability,78,index,,higher_better,,multiplicative,,0,100,hypothesis,Welcome quality is based on an initial partner workshop,Partner design workshop,2026-09-01
partner_confidence,Partner confidence,Confidence that referring residents leads to useful support.,partnerships,outcomes,outcome|learning,74,index,,higher_better,,multiplicative,,0,100,hypothesis,Causal strength remains to be tested,Partner design workshop,2026-09-01
delivery_capacity,Delivery capacity,Workshop sessions possible after the scarcest prerequisite is considered.,delivery,preparedness,capability,8,sessions/month,,higher_better,,min,,,,unspecified,,,
session_schedule,Session schedule,Workshop sessions placed on the monthly timetable.,delivery,coordination,activity,8,sessions/month,,higher_better,,multiplicative,,0,,supported,Schedule is drawn from the operating calendar,Programme operating definitions,2026-09-01
feedback_uplift,Confidence feedback,Delayed multiplier showing how community confidence affects later outreach.,community,preparedness,capability|learning,1,multiplier,,,,,1 + confidence_feedback_strength * (delay(community_confidence) / confidence_reference - 1),0.5,1.5,hypothesis,Exploratory delayed feedback shape,Workshop design assumption,2026-09-01
outreach_reach,People reached,Residents reached through the monthly outreach effort.,community,participation,activity,400,people/month,,higher_better,,,outreach_effort * people_reached_per_hour * feedback_uplift,,,calibrated,Rate fitted to the tutorial observation set,Tutorial observations A,2026-09-01
registrations,Registrations,Places requested subject to reach referrals and the programme capacity ceiling.,community,participation,activity,160,people/month,,higher_better,,,"min((outreach_reach + partner_referrals + community_events) * registration_rate, delivery_capacity * seats_per_workshop)",,,supported,Form follows the registration and capacity definitions,Programme operating definitions,2026-09-01
registration_share,Registration share,Share of reached people who register.,community,outcomes,outcome|learning,0.4,share,,higher_better,,,"clamp(registrations / outreach_reach, 0, 1)",0,1,validated,Ratio checked against separate tutorial cases,Tutorial validation cases,2026-09-01
workshops_delivered,Workshops delivered,Sessions delivered within demand capacity and the published schedule.,delivery,participation,activity,8,sessions/month,,higher_better,,,"min(registrations / seats_per_workshop, delivery_capacity, session_schedule)",,,supported,Capacity rule matches the programme definition,Programme operating definitions,2026-09-01
delivery_experience,Delivery experience,How safe welcoming and well paced each session feels.,delivery,experience,capability|access,82,index,,higher_better,,multiplicative,,0,100,supported,Session observations use an agreed quality rubric,Tutorial delivery review,2026-09-01
attendees_served,Attendees served,People attending delivered workshop places.,delivery,outcomes,outcome,120,people/month,,higher_better,,,workshops_delivered * seats_per_workshop * attendance_rate,0,,calibrated,Attendance parameter fitted to tutorial observations,Tutorial observations B,2026-09-01
completed_follow_ups,Completed follow-ups,Attendees who both complete the activity and are ready for follow-up.,delivery,follow_up,outcome|learning,81,people/month,,higher_better,,,attendees_served * completion_share * follow_up_readiness,0,,supported,Joint product follows the programme definitions,Programme operating definitions,2026-09-01
repeat_attendance,Repeat attendance,Participants who return for another activity or follow-up.,delivery,follow_up,outcome|learning,62,people/month,,higher_better,,multiplicative,,0,,hypothesis,Repeat attendance relationship is illustrative,Tutorial modelling exercise,2026-09-01
accessible_information,Accessible information,How available invitations are across language format and channel needs.,community,design,access|capability,72,index,,higher_better,,additive,,0,100,supported,Accessibility checklist applied to current materials,Tutorial access review,2026-09-01
outreach_calendar,Outreach calendar,How well community conversations are timed and coordinated across channels.,community,coordination,activity|access,78,index,,higher_better,,multiplicative,,0,100,supported,Calendar is reviewed with community partners each month,Community engagement workshop,2026-09-01
community_events,Community conversations,Residents reached through open conversations and local events.,community,engagement,activity,14,events/month,,higher_better,,multiplicative,,0,,hypothesis,Event contribution is an initial programme assumption,Community engagement workshop,2026-09-01
first_time_attendees,First-time attendees,Residents attending the programme for the first time.,community,experience,outcome|access,48,people/month,,higher_better,,multiplicative,,0,,calibrated,Count fitted to the tutorial observation set,Tutorial observations D,2026-09-01
unserved_interest,Unserved participant interest,Registered and walk-in interest above the places the programme can offer.,community,outcomes,outcome|learning,16,people/month,,lower_better,,,"max(registrations + walk_in_interest - delivery_capacity * seats_per_workshop, 0)",0,,hypothesis,Illustrative balance with a non-negative floor,Tutorial modelling exercise,2026-09-01
participant_satisfaction,Participant satisfaction,Average participant rating after a workshop.,delivery,outcomes,outcome|learning,85,index,,higher_better,,multiplicative,,,,unspecified,,,
community_confidence,Community confidence,Confidence that the programme is useful welcoming and reliable.,community,follow_up,outcome|learning,70,index,,higher_better,,additive,,0,100,unspecified,,,
community_advocates,Community advocates,Residents who actively recommend or help shape the programme.,community,follow_up,outcome|learning,24,people/month,,higher_better,,multiplicative,,0,,hypothesis,Advocacy pathway is an exploratory causal claim,Community engagement workshop,2026-09-01
survey_capacity,Survey capacity,Monthly capacity to collect and process participant feedback.,learning,inputs,resource|learning,100,responses/month,true,,2.5,,,,,unspecified,,,
data_quality,Data quality,Completeness and reliability of programme monitoring data.,learning,preparedness,capability|learning,78,index,,higher_better,,multiplicative,,0,100,supported,Data quality checklist applied monthly,Programme learning log,2026-09-01
response_campaign,Feedback invitation,How consistently participants are invited to share feedback.,learning,design,activity|learning,80,index,,higher_better,,multiplicative,,0,100,supported,Invitation process is documented in delivery guidance,Programme operating definitions,2026-09-01
measurement_plan,Measurement plan,How clearly the team has agreed what to collect when and why.,learning,coordination,activity|learning,81,index,,higher_better,,multiplicative,,0,100,supported,Measurement plan is approved at the start of each cycle,Programme learning log,2026-09-01
